seed_id	persona_id	seed_phrase
S001	P001	Everybody is counting on me and I know in my heart of hearts I can't do it.
S002	P001	I hate myself. All I hear all day long is my brain saying I hate myself.
S003	P001	I can enjoy the most beautiful perfect day sometimes and it just makes the crash feel harder and more inevitable.
S004	P001	I wish I could just disappear. Everybody would be happier.
S005	P001	I look at boys and I look at girls and don't understand some of the feelings I have.
S006	P002	I can't decide if I'm happy with where I've ended up. I want to be.
S007	P002	Maybe I have enough? Maybe always wanting more and more is just hurting me?
S008	P002	I spent my life _building_ a life and sometimes I just want to blow it all up out of boredom.
S009	P002	I drink for fun, I still have fun when I drink. Worse than the occasional hangover would be lying to myself.
S010	P002	I always thought my grow-up life would be boundless, not so small.
S011	P003	I can never be good enough.
S012	P003	Maybe there's no such thing as "good enough"
S013	P003	My greatest battle is with regret. If I acknowledge regret, I will see it everywhere.
S014	P003	How dare a so-called colleague speak to me like that.
S015	P003	Some days I recognize that dying still seeking after greatness is natural, inevitable, even desirable.
